Participant ID,Timestamp-Pre,How old are you?,Gender?,What describes you the best?,How comfortable are you in expressing emotions?,"Have you ever played with the ""drummer bot"" dB before?","How much prior experience do you have with interactive musical interfaces (e.g. sensor systems, digital control devices)?","How often do you use AI tools for creativity (e.g., writing, coding, music, fine arts, food recipes, etc.)?",Please indicate if you have any of the following health problems.,Timestamp-During,Session ID (the last session that the participant has completed),I felt bored,I felt annoyed,I felt excited,I felt at ease,I felt satisfied,I felt curious,I felt stressed,I felt tired,Timestamp-Post,How coherent do you think the dB’s responses were to your input?,Who had the overall control of the interaction?,I found it engaging,dB can be frustrating,I got confused often,It was a creative experience,dB can be surprising,I would like to play more,"Please add if you have any comments, suggestions, or requests."
andsti-01,2024/11/05 5:49:00 PM GMT+1,25,Male,Avid music listener,2,No,2,1,,2024/11/05 5:50:02 PM GMT+1,ILLIAC,1,2,3,1,2,3,2,4,2024/11/05 6:04:24 PM GMT+1,1,1,2,4,3,2,4,0,
andsti-01,2024/11/05 5:49:00 PM GMT+1,25,Male,Avid music listener,2,No,2,1,,2024/11/05 5:54:41 PM GMT+1,CYSP,3,2,1,2,1,1,2,4,2024/11/05 6:04:24 PM GMT+1,1,1,2,4,3,2,4,0,
andsti-01,2024/11/05 5:49:00 PM GMT+1,25,Male,Avid music listener,2,No,2,1,,2024/11/05 5:59:13 PM GMT+1,VOYAGER,4,2,1,1,1,1,1,4,2024/11/05 6:04:24 PM GMT+1,1,1,2,4,3,2,4,0,
andsti-01,2024/11/05 5:49:00 PM GMT+1,25,Male,Avid music listener,2,No,2,1,,2024/11/05 6:05:35 PM GMT+1,ALICE,3,3,1,2,1,1,1,4,2024/11/05 6:04:24 PM GMT+1,1,1,2,4,3,2,4,0,
andsti-02,2024/11/05 10:32:50 PM GMT+1,25,Female,Student/semi-professional musician,0,No,1,4,"ADHD;adhd er ikke en ""health problem""",2024/11/05 10:40:04 PM GMT+1,ALICE,4,4,0,1,0,1,2,0,2024/11/05 10:55:25 PM GMT+1,2,1,1,2,1,1,3,0,
andsti-02,2024/11/05 10:32:50 PM GMT+1,25,Female,Student/semi-professional musician,0,No,1,4,"ADHD;adhd er ikke en ""health problem""",2024/11/05 10:45:24 PM GMT+1,CYSP,4,3,0,0,1,1,1,0,2024/11/05 10:55:25 PM GMT+1,2,1,1,2,1,1,3,0,
andsti-02,2024/11/05 10:32:50 PM GMT+1,25,Female,Student/semi-professional musician,0,No,1,4,"ADHD;adhd er ikke en ""health problem""",2024/11/05 10:50:14 PM GMT+1,VOYAGER,4,4,0,0,0,2,2,2,2024/11/05 10:55:25 PM GMT+1,2,1,1,2,1,1,3,0,
andsti-02,2024/11/05 10:32:50 PM GMT+1,25,Female,Student/semi-professional musician,0,No,1,4,"ADHD;adhd er ikke en ""health problem""",2024/11/05 10:56:05 PM GMT+1,ILLIAC,4,4,0,0,0,0,3,2,2024/11/05 10:55:25 PM GMT+1,2,1,1,2,1,1,3,0,
andsti-04,2024/11/06 11:36:48 AM GMT+1,24,Female,Averagely interested in music,3,No,2,3,,2024/11/06 11:45:49 AM GMT+1,VOYAGER,3,2,0,1,1,3,3,2,2024/11/06 12:01:45 PM GMT+1,1,1,0,1,4,2,1,0,"Very confusing, I didn't know when I did something or when db did something. Also difficult to know where in the beat I was when making more. "
andsti-04,2024/11/06 11:36:48 AM GMT+1,24,Female,Averagely interested in music,3,No,2,3,,2024/11/06 11:51:08 AM GMT+1,ILLIAC,2,2,0,1,2,2,2,2,2024/11/06 12:01:45 PM GMT+1,1,1,0,1,4,2,1,0,"Very confusing, I didn't know when I did something or when db did something. Also difficult to know where in the beat I was when making more. "
andsti-04,2024/11/06 11:36:48 AM GMT+1,24,Female,Averagely interested in music,3,No,2,3,,2024/11/06 11:55:43 AM GMT+1,ALICE,2,1,1,0,1,2,1,2,2024/11/06 12:01:45 PM GMT+1,1,1,0,1,4,2,1,0,"Very confusing, I didn't know when I did something or when db did something. Also difficult to know where in the beat I was when making more. "
andsti-04,2024/11/06 11:36:48 AM GMT+1,24,Female,Averagely interested in music,3,No,2,3,,2024/11/06 12:02:30 PM GMT+1,CYSP,4,3,0,1,0,0,0,3,2024/11/06 12:01:45 PM GMT+1,1,1,0,1,4,2,1,0,"Very confusing, I didn't know when I did something or when db did something. Also difficult to know where in the beat I was when making more. "
andsti-05,2024/11/06 12:16:11 PM GMT+1,24,Female,Avid music listener,2,No,1,3,,2024/11/06 12:21:35 PM GMT+1,ALICE,3,0,3,3,3,2,0,0,2024/11/06 12:35:07 PM GMT+1,1,1,3,4,3,3,4,1,"i got a bit bored after some time, and i got really confused as they were very different responses"
group21-11,2024/11/06 12:09:10 PM GMT+1,49,Male,Not particularly interested in music,2,No,0,3,,2024/11/06 12:22:41 PM GMT+1,CYSP,0,1,1,3,2,4,1,0,2024/11/06 12:47:10 PM GMT+1,2,1,3,3,0,3,3,2,
andsti-05,2024/11/06 12:16:11 PM GMT+1,24,Female,Avid music listener,2,No,1,3,,2024/11/06 12:25:52 PM GMT+1,ILLIAC,2,0,1,0,3,1,0,0,2024/11/06 12:35:07 PM GMT+1,1,1,3,4,3,3,4,1,"i got a bit bored after some time, and i got really confused as they were very different responses"
andsti-05,2024/11/06 12:16:11 PM GMT+1,24,Female,Avid music listener,2,No,1,3,,2024/11/06 12:30:09 PM GMT+1,VOYAGER,4,4,0,1,0,1,0,4,2024/11/06 12:35:07 PM GMT+1,1,1,3,4,3,3,4,1,"i got a bit bored after some time, and i got really confused as they were very different responses"
group21-11,2024/11/06 12:09:10 PM GMT+1,49,Male,Not particularly interested in music,2,No,0,3,,2024/11/06 12:30:25 PM GMT+1,ILLIAC,1,2,2,2,2,3,1,0,2024/11/06 12:47:10 PM GMT+1,2,1,3,3,0,3,3,2,
andsti-05,2024/11/06 12:16:11 PM GMT+1,24,Female,Avid music listener,2,No,1,3,,2024/11/06 12:35:32 PM GMT+1,CYSP,3,1,1,0,1,2,0,0,2024/11/06 12:35:07 PM GMT+1,1,1,3,4,3,3,4,1,"i got a bit bored after some time, and i got really confused as they were very different responses"
group21-11,2024/11/06 12:09:10 PM GMT+1,49,Male,Not particularly interested in music,2,No,0,3,,2024/11/06 12:38:08 PM GMT+1,VOYAGER,2,2,2,2,1,3,1,0,2024/11/06 12:47:10 PM GMT+1,2,1,3,3,0,3,3,2,
group21-11,2024/11/06 12:09:10 PM GMT+1,49,Male,Not particularly interested in music,2,No,0,3,,2024/11/06 12:45:28 PM GMT+1,ALICE,1,1,3,2,3,4,1,0,2024/11/06 12:47:10 PM GMT+1,2,1,3,3,0,3,3,2,
andsti-06,2024/11/06 12:42:02 PM GMT+1,23,Female,Averagely interested in music,3,No,1,2,,2024/11/06 12:49:04 PM GMT+1,ALICE,3,3,2,1,1,2,0,0,2024/11/06 1:04:00 PM GMT+1,2,3,2,4,3,1,3,0,
andsti-06,2024/11/06 12:42:02 PM GMT+1,23,Female,Averagely interested in music,3,No,1,2,,2024/11/06 12:54:15 PM GMT+1,ILLIAC,3,3,2,3,2,0,0,0,2024/11/06 1:04:00 PM GMT+1,2,3,2,4,3,1,3,0,
andsti-06,2024/11/06 12:42:02 PM GMT+1,23,Female,Averagely interested in music,3,No,1,2,,2024/11/06 12:58:43 PM GMT+1,CYSP,4,3,0,0,0,0,0,0,2024/11/06 1:04:00 PM GMT+1,2,3,2,4,3,1,3,0,
pluto1,2024/11/06 12:50:17 PM GMT+1,22,Male,Avid music listener,4,No,2,4,,2024/11/06 12:58:49 PM GMT+1,Alice,1,3,4,0,0,4,1,0,2024/11/06 1:24:07 PM GMT+1,1,0,2,4,4,1,4,2,
group21-12,2024/11/06 12:53:42 PM GMT+1,55,Male,Student/semi-professional musician,2,No,2,0,,2024/11/06 1:02:30 PM GMT+1,ALICE,3,0,0,2,1,3,0,0,2024/11/06 1:23:56 PM GMT+1,1,1,1,2,1,0,0,0,
andsti-06,2024/11/06 12:42:02 PM GMT+1,23,Female,Averagely interested in music,3,No,1,2,,2024/11/06 1:04:44 PM GMT+1,VOYAGER,4,2,1,0,0,0,2,2,2024/11/06 1:04:00 PM GMT+1,2,3,2,4,3,1,3,0,
pluto1,2024/11/06 12:50:17 PM GMT+1,22,Male,Avid music listener,4,No,2,4,,2024/11/06 1:06:27 PM GMT+1,illiac,2,2,1,0,0,4,2,1,2024/11/06 1:24:07 PM GMT+1,1,0,2,4,4,1,4,2,
group21-12,2024/11/06 12:53:42 PM GMT+1,55,Male,Student/semi-professional musician,2,No,2,0,,2024/11/06 1:09:16 PM GMT+1,CYSP,4,0,0,3,0,1,0,0,2024/11/06 1:23:56 PM GMT+1,1,1,1,2,1,0,0,0,
andsti-07,2024/11/06 1:07:41 PM GMT+1,25,Male,Avid music listener,3,No,1,4,,2024/11/06 1:14:12 PM GMT+1,CYSP,0,2,3,3,4,3,0,0,2024/11/06 1:28:45 PM GMT+1,3,1,3,4,1,3,3,3,
group21-12,2024/11/06 12:53:42 PM GMT+1,55,Male,Student/semi-professional musician,2,No,2,0,,2024/11/06 1:16:40 PM GMT+1,ILLIAC,4,1,0,2,1,2,0,0,2024/11/06 1:23:56 PM GMT+1,1,1,1,2,1,0,0,0,
pluto1,2024/11/06 12:50:17 PM GMT+1,22,Male,Avid music listener,4,No,2,4,,2024/11/06 1:18:04 PM GMT+1,voyager,3,3,1,1,1,3,0,2,2024/11/06 1:24:07 PM GMT+1,1,0,2,4,4,1,4,2,
andsti-07,2024/11/06 1:07:41 PM GMT+1,25,Male,Avid music listener,3,No,1,4,,2024/11/06 1:19:29 PM GMT+1,ALICE,2,3,3,3,2,3,0,0,2024/11/06 1:28:45 PM GMT+1,3,1,3,4,1,3,3,3,
andsti-07,2024/11/06 1:07:41 PM GMT+1,25,Male,Avid music listener,3,No,1,4,,2024/11/06 1:23:55 PM GMT+1,VOYAGER,2,3,2,2,1,3,0,0,2024/11/06 1:28:45 PM GMT+1,3,1,3,4,1,3,3,3,
group21-12,2024/11/06 12:53:42 PM GMT+1,55,Male,Student/semi-professional musician,2,No,2,0,,2024/11/06 1:24:47 PM GMT+1,VOYAGER,4,0,1,4,1,1,0,0,2024/11/06 1:23:56 PM GMT+1,1,1,1,2,1,0,0,0,
pluto1,2024/11/06 12:50:17 PM GMT+1,22,Male,Avid music listener,4,No,2,4,,2024/11/06 1:24:48 PM GMT+1,cysp,4,3,1,2,1,1,2,3,2024/11/06 1:24:07 PM GMT+1,1,0,2,4,4,1,4,2,
andsti-07,2024/11/06 1:07:41 PM GMT+1,25,Male,Avid music listener,3,No,1,4,,2024/11/06 1:29:23 PM GMT+1,ILLIAC,1,2,3,3,3,3,0,0,2024/11/06 1:28:45 PM GMT+1,3,1,3,4,1,3,3,3,
pluto2,2024/11/06 1:28:57 PM GMT+1,21,Male,Student/semi-professional musician,3,No,3,2,,2024/11/06 1:36:37 PM GMT+1,cysp,0,1,3,2,2,3,0,0,2024/11/06 2:06:50 PM GMT+1,2,1,2,3,1,3,4,2,
pluto2,2024/11/06 1:28:57 PM GMT+1,21,Male,Student/semi-professional musician,3,No,3,2,,2024/11/06 1:45:30 PM GMT+1,alice,1,2,2,1,1,2,0,1,2024/11/06 2:06:50 PM GMT+1,2,1,2,3,1,3,4,2,
pluto2,2024/11/06 1:28:57 PM GMT+1,21,Male,Student/semi-professional musician,3,No,3,2,,2024/11/06 1:55:42 PM GMT+1,illiac,2,2,1,0,0,2,2,1,2024/11/06 2:06:50 PM GMT+1,2,1,2,3,1,3,4,2,
pluto2,2024/11/06 1:28:57 PM GMT+1,21,Male,Student/semi-professional musician,3,No,3,2,,2024/11/06 2:07:50 PM GMT+1,voyager,2,1,2,2,2,3,0,2,2024/11/06 2:06:50 PM GMT+1,2,1,2,3,1,3,4,2,
pluto3,2024/11/06 2:11:42 PM GMT+1,23,Male,Avid music listener,3,No,0,1,,2024/11/06 2:21:58 PM GMT+1,alice,1,2,3,2,1,3,0,0,2024/11/06 2:45:03 PM GMT+1,1,1,2,4,2,0,3,1,
pluto3,2024/11/06 2:11:42 PM GMT+1,23,Male,Avid music listener,3,No,0,1,,2024/11/06 2:29:44 PM GMT+1,cysp,1,2,2,3,0,2,0,1,2024/11/06 2:45:03 PM GMT+1,1,1,2,4,2,0,3,1,
pluto3,2024/11/06 2:11:42 PM GMT+1,23,Male,Avid music listener,3,No,0,1,,2024/11/06 2:37:04 PM GMT+1,illiac,2,3,0,4,1,2,0,1,2024/11/06 2:45:03 PM GMT+1,1,1,2,4,2,0,3,1,
pluto3,2024/11/06 2:11:42 PM GMT+1,23,Male,Avid music listener,3,No,0,1,,2024/11/06 2:45:57 PM GMT+1,voyager,3,3,0,4,0,1,0,2,2024/11/06 2:45:03 PM GMT+1,1,1,2,4,2,0,3,1,
G17P1,2024/11/06 2:51:27 PM GMT+1,22,Male,Student/semi-professional musician,3,No,3,2,ADHD,2024/11/06 3:02:14 PM GMT+1,ILLIAC,1,2,3,1,1,3,3,0,2024/11/06 3:20:28 PM GMT+1,1,1,1,3,3,1,2,1,
G17P1,2024/11/06 2:51:27 PM GMT+1,22,Male,Student/semi-professional musician,3,No,3,2,ADHD,2024/11/06 3:07:52 PM GMT+1,ALICE,3,3,1,1,1,1,2,2,2024/11/06 3:20:28 PM GMT+1,1,1,1,3,3,1,2,1,
G17P1,2024/11/06 2:51:27 PM GMT+1,22,Male,Student/semi-professional musician,3,No,3,2,ADHD,2024/11/06 3:13:30 PM GMT+1,VOYAGER,1,3,3,2,2,1,1,0,2024/11/06 3:20:28 PM GMT+1,1,1,1,3,3,1,2,1,
G17P1,2024/11/06 2:51:27 PM GMT+1,22,Male,Student/semi-professional musician,3,No,3,2,ADHD,2024/11/06 3:21:11 PM GMT+1,CYSP,1,1,3,3,3,3,0,0,2024/11/06 3:20:28 PM GMT+1,1,1,1,3,3,1,2,1,
G17P3,2024/11/06 3:35:37 PM GMT+1,23,Male,Avid music listener,2,No,1,2,,2024/11/06 3:49:59 PM GMT+1,VOYAGER,3,1,1,4,1,2,0,0,2024/11/06 4:12:09 PM GMT+1,2,1,1,3,2,2,3,1,
G17P3,2024/11/06 3:35:37 PM GMT+1,23,Male,Avid music listener,2,No,1,2,,2024/11/06 3:59:06 PM GMT+1,CYSP,1,0,3,3,3,3,0,0,2024/11/06 4:12:09 PM GMT+1,2,1,1,3,2,2,3,1,
G17P3,2024/11/06 3:35:37 PM GMT+1,23,Male,Avid music listener,2,No,1,2,,2024/11/06 4:04:32 PM GMT+1,ALICE,2,1,1,3,2,1,0,0,2024/11/06 4:12:09 PM GMT+1,2,1,1,3,2,2,3,1,
G17P3,2024/11/06 3:35:37 PM GMT+1,23,Male,Avid music listener,2,No,1,2,,2024/11/06 4:13:39 PM GMT+1,ILLIAC,2,3,1,2,1,2,1,1,2024/11/06 4:12:09 PM GMT+1,2,1,1,3,2,2,3,1,
group19_1,2024/11/06 4:57:21 PM GMT+1,22,Male,Avid music listener,4,No,1,3,,2024/11/06 5:20:05 PM GMT+1,VOYAGER,3,3,1,0,0,2,4,4,2024/11/06 5:38:58 PM GMT+1,1,0,0,4,4,0,1,0,"beat never matched correlation between reference point and the next key. didn't feel responsive. distracting to hear the beat playing while hearing a new one. didn't feel like I knew where the ""player"" was in the track ever."
group19_1,2024/11/06 4:57:21 PM GMT+1,22,Male,Avid music listener,4,No,1,3,,2024/11/06 5:26:40 PM GMT+1,ILLIAC,4,3,2,0,0,1,3,4,2024/11/06 5:38:58 PM GMT+1,1,0,0,4,4,0,1,0,"beat never matched correlation between reference point and the next key. didn't feel responsive. distracting to hear the beat playing while hearing a new one. didn't feel like I knew where the ""player"" was in the track ever."
group19_1,2024/11/06 4:57:21 PM GMT+1,22,Male,Avid music listener,4,No,1,3,,2024/11/06 5:31:57 PM GMT+1,ALICE,4,3,0,2,0,2,1,4,2024/11/06 5:38:58 PM GMT+1,1,0,0,4,4,0,1,0,"beat never matched correlation between reference point and the next key. didn't feel responsive. distracting to hear the beat playing while hearing a new one. didn't feel like I knew where the ""player"" was in the track ever."
group19_1,2024/11/06 4:57:21 PM GMT+1,22,Male,Avid music listener,4,No,1,3,,2024/11/06 5:40:15 PM GMT+1,CYSP,4,2,1,0,0,1,2,4,2024/11/06 5:38:58 PM GMT+1,1,0,0,4,4,0,1,0,"beat never matched correlation between reference point and the next key. didn't feel responsive. distracting to hear the beat playing while hearing a new one. didn't feel like I knew where the ""player"" was in the track ever."
group19_2,2024/11/06 5:53:24 PM GMT+1,22,Male,Avid music listener,4,No,3,1,,2024/11/06 6:05:21 PM GMT+1,VOYAGER,4,3,0,0,0,0,0,0,2024/11/06 6:18:55 PM GMT+1,1,1,0,4,0,2,3,0,fyi on firefox constatly having files donwload created a pop up that disabled my inputs unless i remvoed the pop up
group19_2,2024/11/06 5:53:24 PM GMT+1,22,Male,Avid music listener,4,No,3,1,,2024/11/06 6:10:02 PM GMT+1,ILLIAC,1,4,0,0,0,3,1,0,2024/11/06 6:18:55 PM GMT+1,1,1,0,4,0,2,3,0,fyi on firefox constatly having files donwload created a pop up that disabled my inputs unless i remvoed the pop up
group19_2,2024/11/06 5:53:24 PM GMT+1,22,Male,Avid music listener,4,No,3,1,,2024/11/06 6:14:12 PM GMT+1,ALICE,3,3,2,2,0,0,0,0,2024/11/06 6:18:55 PM GMT+1,1,1,0,4,0,2,3,0,fyi on firefox constatly having files donwload created a pop up that disabled my inputs unless i remvoed the pop up
group19_2,2024/11/06 5:53:24 PM GMT+1,22,Male,Avid music listener,4,No,3,1,,2024/11/06 6:19:33 PM GMT+1,CYSP,2,3,1,2,2,0,0,0,2024/11/06 6:18:55 PM GMT+1,1,1,0,4,0,2,3,0,fyi on firefox constatly having files donwload created a pop up that disabled my inputs unless i remvoed the pop up
G17P5,2024/11/06 6:35:31 PM GMT+1,24,Male,Not particularly interested in music,0,No,0,0,,2024/11/06 6:45:46 PM GMT+1,CYSP,4,4,0,0,0,0,0,2,2024/11/06 7:09:00 PM GMT+1,1,0,1,2,0,0,2,0,
G17P5,2024/11/06 6:35:31 PM GMT+1,24,Male,Not particularly interested in music,0,No,0,0,,2024/11/06 6:53:40 PM GMT+1,ALICE,2,2,1,1,1,1,0,0,2024/11/06 7:09:00 PM GMT+1,1,0,1,2,0,0,2,0,
G17P5,2024/11/06 6:35:31 PM GMT+1,24,Male,Not particularly interested in music,0,No,0,0,,2024/11/06 7:01:08 PM GMT+1,ILLIAC,1,0,0,0,1,0,0,0,2024/11/06 7:09:00 PM GMT+1,1,0,1,2,0,0,2,0,
G17P5,2024/11/06 6:35:31 PM GMT+1,24,Male,Not particularly interested in music,0,No,0,0,,2024/11/06 7:10:05 PM GMT+1,VOYAGER,3,2,1,1,1,0,0,0,2024/11/06 7:09:00 PM GMT+1,1,0,1,2,0,0,2,0,
group19_3,2024/11/06 7:34:00 PM GMT+1,21,Male,Averagely interested in music,2,No,1,2,,2024/11/06 7:44:37 PM GMT+1,ALICE,2,1,2,3,2,1,1,2,2024/11/06 8:18:54 PM GMT+1,1,1,3,1,1,1,0,2,
group19_3,2024/11/06 7:34:00 PM GMT+1,21,Male,Averagely interested in music,2,No,1,2,,2024/11/06 7:49:28 PM GMT+1,VOYAGER,3,2,1,2,1,1,0,2,2024/11/06 8:18:54 PM GMT+1,1,1,3,1,1,1,0,2,
group19_3,2024/11/06 7:34:00 PM GMT+1,21,Male,Averagely interested in music,2,No,1,2,,2024/11/06 7:54:10 PM GMT+1,ILLIAC,1,1,3,2,4,3,1,1,2024/11/06 8:18:54 PM GMT+1,1,1,3,1,1,1,0,2,
group19_3,2024/11/06 7:34:00 PM GMT+1,21,Male,Averagely interested in music,2,No,1,2,,2024/11/06 8:04:20 PM GMT+1,CYSP,1,0,3,3,3,2,1,2,2024/11/06 8:18:54 PM GMT+1,1,1,3,1,1,1,0,2,
dogdt1,2024/11/06 7:53:46 PM GMT+1,23,Female,Avid music listener,3,No,0,1,,2024/11/06 8:05:55 PM GMT+1,ILLIAC,1,3,3,2,1,3,2,1,2024/11/10 4:52:08 PM GMT+1,2,3,3,3,3,1,2,2,
